SMILES,Dose,pDose,Class
C(CCl)Cl,413.0,2.616,4
C1=CC(=C(C=C1Cl)Cl)Cl,300.0,2.477,3
C(C=O)Cl,82.0,1.914,3
C(CCl)O,81.0,1.908,3
C1=CC(=C(C=C1Cl)O)Cl,946.0,2.976,4
C1=CC(=CC(=C1)O)CCC(=O)O,2000.0,3.301,4
C(CC(=O)O)CN,12680.0,4.103,5
C1=CC(=CC=C1C(=O)O)O,2200.0,3.342,5
C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,6000.0,3.778,5
C(CO)O,5500.0,3.74,5
CC=O,900.0,2.954,4
CC(=O)N,12900.0,4.111,5
CC(=O)C,3000.0,3.477,5
C1=NC2=NC=NC(=C2N1)N,783.0,2.894,4
C(CCC(=O)O)CC(=O)O,1900.0,3.279,4
C1=CC=C(C(=C1)C(=O)O)N,1400.0,3.146,4
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,1320.0,3.121,4
C1=CC=C(C=C1)C=O,28.0,1.447,2
C1=CC=CC=C1,4700.0,3.672,5
C1=CC=C(C=C1)C(=O)O,1940.0,3.288,4
C1=CC=C(C=C1)CO,1360.0,3.134,4
CCCCO,2680.0,3.428,5
CCCC(=O)O,500.0,2.699,4
C(CCN)CCN,1600.0,3.204,4
C(=O)O,700.0,2.845,4
C1=CC=C(C(=C1)O)O,260.0,2.415,3
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,5040.0,3.702,5
C1=CC=C2C(=C1)C=CC(=O)O2,196.0,2.292,3
CC(C)C1=CC=C(C=C1)C=O,2400.0,3.38,5
CC1=CC=CC=C1O,344.0,2.537,4
C1=CC=C(C(=C1)C(=O)O)O,480.0,2.681,4
CC1=CC(=CC=C1)O,828.0,2.918,4
C1=C(C=C(C=C1O)O)O,4550.0,3.658,5
C(CCC(=O)O)CCC(=O)O,4800.0,3.681,5
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,544.0,2.736,4
COC1=CC=CC=C1O,621.0,2.793,4
C(C(C(=O)O)O)C(=O)O,1600.0,3.204,4
CCC=O,800.0,2.903,4
C(CCC(=O)O)CCN,14300.0,4.155,5
CC(C(=O)O)O,4875.0,3.688,5
CNC,316.0,2.5,4
CS(=O)C,7920.0,3.899,5
C(CO)N,700.0,2.845,4
CCO,3450.0,3.538,5
C=O,42.0,1.623,2
C(=O)N,3150.0,3.498,5
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,59.0,1.771,3
C(CC(=O)O)CC(=O)O,6000.0,3.778,5
C(C(=O)O)N,4920.0,3.692,5
C(C(CO)O)O,4090.0,3.612,5
C#N,3.7,0.568,1
C1=C(NC=N1)CCN,220.0,2.342,3
OO,2000.0,3.301,4
C1=CC(=CC=C1O)O,245.0,2.389,3
C1=CN=CN1,880.0,2.944,4
C1=CC=C2C(=C1)C=CN2,1070.0,3.029,4
II,22000.0,4.342,5
C1CSSC1CCCCC(=O)N,620.0,2.792,4
C1CSSC1CCCCC(=O)O,502.0,2.701,4
C(C(=O)O)C(=O)O,4000.0,3.602,5
CSCCC(C(=O)O)N,4000.0,3.602,5
CO,7300.0,3.863,5
C1(C(C(C(C(C1O)O)O)O)O)O,10000.0,4.0,5
CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,1250.0,3.097,4
CC(=O)NC1=CC=CC=C1,1210.0,3.083,4
C1=CC=C2C=CC=CC2=C1,316.0,2.5,4
C1=CC(=CN=C1)C(=O)N,2500.0,3.398,5
C1=CC(=CN=C1)C(=O)O,3720.0,3.571,5
CN(C)C1=CC=CC=C1,350.0,2.544,4
CCCCCCCCO,1790.0,3.253,4
C1=C(NC(=O)NC1=O)C(=O)O,2000.0,3.301,4
C(=O)(C(=O)O)N,21762.0,4.338,5
C1=CC(=CC=C1C(=O)O)N,2850.0,3.455,5
C1=CC(=CC=C1[N+](=O)[O-])O,282.0,2.45,3
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],5.0,0.699,1
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,36.0,1.556,2
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,700.0,2.845,4
C1=CC=C(C=C1)CC=O,3890.0,3.59,5
C1=CC=C(C=C1)CC(=O)O,2250.0,3.352,5
C1=CC=C(C(=C1)C(=O)O)C(=O)O,2530.0,3.403,5
CC(CO)O,22000.0,4.342,5
CCCO,6800.0,3.833,5
C(CCN)CN,1600.0,3.204,4
C1=CN=C(C=N1)C(=O)N,3000.0,3.477,5
C1=CNN=C1,409.0,2.612,4
C1=CC=NC=C1,1500.0,3.176,4
CC1=NC=C(C(=C1O)C=O)CO,1120.0,3.049,4
CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,4640.0,3.667,5
CC1=NC=C(C(=C1O)CN)COP(=O)(O)O,5800.0,3.763,5
CC1=NC=C(C(=C1O)CO)COP(=O)(O)O,7800.0,3.892,5
C1=CC(=C(C(=C1)O)O)O,300.0,2.477,3
CSC,3700.0,3.568,5
C(C(C(=O)O)N)SCC(=O)O,11500.0,4.061,5
C(CCNCCCN)CN,1000.0,3.0,4
C(CCNCCCN)CNCCCN,650.0,2.813,4
C(CS(=O)(=O)O)N,7000.0,3.845,5
C(C(=O)O)S,242.0,2.384,3
CC1=CNC(=O)NC1=O,3500.0,3.544,5
C1=CNC(=O)NC1=O,8000.0,3.903,5
C(=O)(N)N,11000.0,4.041,5
COC1=C(C=CC(=C1)C=O)O,3925.0,3.594,5
C1=NC2=C(N1)C(=O)NC(=O)N2,3333.0,3.523,5
CC(CC1=CC=CC=C1)NC,34.0,1.531,2
C1=C(ONC1=O)C(C(=O)O)N,38.0,1.58,2
CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)Cl,78.0,1.892,3
CNNC,36.0,1.556,2
CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl,200.0,2.301,3
C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCO3,350.0,2.544,4
CN1C=CN=C1,1400.0,3.146,4
C1=CC=NC(=C1)C2=CC=CC=N2,330.0,2.519,4
C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,242.0,2.384,3
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,347.0,2.54,4
C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O,750.0,2.875,4
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,45.0,1.653,2
CCCCNCCS,1600.0,3.204,4
CC(CO)(CO)N,140.0,2.146,3
C(CS)O,190.0,2.279,3
C1=CC(=S)N(C=C1)O,535.0,2.728,4
CC(CC1=CC2=C(C=C1)OCO2)N,13.3,1.124,2
C1=NNC(=N1)N,14700.0,4.167,5
CC(CC(=O)O)(CC(=O)O)O,7330.0,3.865,5
CCCN1C2=C(C(=O)NC1=O)NC=N2,254.0,2.405,3
C(C[N+](=O)[O-])C(=O)O,68.1,1.833,3
C1=CN=CC=C1N,19.0,1.279,2
CC1=C(C=CC(=C1)O)Cl,600.0,2.778,4
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,150.0,2.176,3
C1C(COCO1)([N+](=O)[O-])Br,590.0,2.771,4
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCl,374.0,2.573,4
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO,400.0,2.602,4
C1=CC2=C(C(=C1)O)N=CC=C2,20000.0,4.301,5
C1CCC2=NC3=CC=CC=C3C(=C2C1)N,39.8,1.6,2
CC(=O)OC1CN2CCC1CC2,165.0,2.217,3
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,18.42,1.265,2
CC(=O)NP(=O)(OC)SC,233.0,2.367,3
CC(=O)NC1=CC=C(C=C1)O,338.0,2.529,4
CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O,4.0,0.602,1
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,4300.0,3.633,5
CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,1550.0,3.19,4
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,2500.0,3.398,5
CCC(C1=CC=CC=C1)C(=O)NC(=O)NC(=O)C,1175.0,3.07,4
CC(=O)NC1=CC=C(C=C1)CC(=O)O,14700.0,4.167,5
CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,600.0,2.778,4
CC1=CC=CC=C1N2C(=NC3=C(C2=O)C=C(C=C3)N)CF,397.0,2.599,4
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,462.0,2.665,4
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,1500.0,3.176,4
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,2707.0,3.432,5
CC(C)(C=NOC(=O)NC)SC,0.3,-0.523,1
CC(C1=CC=C(C=C1)NCC(=C)C)C(=O)O,1520.0,3.182,4
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,770.0,2.886,4
CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,437.0,2.64,4
F[Al](F)F,103.0,2.013,3
C1C2CC3CC1CC(C2)(C3)N,700.0,2.845,4
C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O,2720.0,3.435,5
C(CN)CNCCSP(=O)(O)O,842.0,2.925,4
C(C(CN)O)C(=O)O,12900.0,4.111,5
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N,800.0,2.903,4
CN1C2=C(C(=O)N(C1=O)C)NC=N2,235.0,2.371,3
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,4000.0,3.602,5
CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,1024.0,3.01,4
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,99.0,1.996,3
CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,2320.0,3.365,5
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,345.0,2.538,4
CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,550.0,2.74,4
C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,104.0,2.017,3
CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)C2=CC=CC=C21)C)C(=O)NC3=CC=CC=N3,2291.0,3.36,5
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,53.42,1.728,3
COC1=CC=C(C=C1)C2=CC(=S)SS2,1480.0,3.17,4
COC1=CC=C(C=C1)C(=O)N2CCCC2=O,3648.0,3.562,5
COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,300.0,2.477,3
C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3,398.0,2.6,4
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,1542.0,3.188,4
CC1=CC(=O)N(N1C)C2=CC=CC=C2,1310.0,3.117,4
