SMILES,Dose,pDose,Class
C(CCl)Cl,1000.0,3.0,3
C(CCl)O,84.0,1.924,2
C(CO)O,2800.0,3.447,5
CC=O,640.0,2.806,3
CC(=O)N,10000.0,4.0,5
CC(C(=O)C)O,14000.0,4.146,5
CC(=O)OCC[N+](C)(C)C,250.0,2.398,3
C1=CC=C(C=C1)C=O,5000.0,3.699,5
C1=CC=C(C=C1)CO,1700.0,3.23,4
CCCC=O,10000.0,4.0,5
C(CCN)CCN,1250.0,3.097,4
C[N+](C)(C)CC(CC(=O)[O-])O,13500.0,4.13,5
C1=CC=C(C(=C1)O)O,110.0,2.041,2
C,5000.0,3.699,5
C(C(=O)O)Cl,5.0,0.699,1
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,5500.0,3.74,5
CC1=CC=CC=C1O,65.0,1.813,2
CC1=CC(=CC=C1)O,900.0,2.954,3
C1=C(C=C(C=C1O)O)O,4850.0,3.686,5
C1=C(C=C(C(=C1O)O)O)C(=O)O,5000.0,3.699,5
COC1=CC=CC=C1O,900.0,2.954,3
CCC=O,820.0,2.914,3
CS(=O)C,12000.0,4.079,5
C(CO)N,1500.0,3.176,4
C=O,420.0,2.623,3
C(=O)N,4000.0,3.602,5
C(C(=O)O)N,5200.0,3.716,5
C(C(CO)O)O,100.0,2.0,2
C1=C(NC=N1)CCN,250.0,2.398,3
OO,620.0,2.792,3
C1=CC(=CC=C1O)O,300.0,2.477,3
NO,29.0,1.462,1
C1=CN=CN1,626.0,2.797,3
II,10500.0,4.021,5
C1CSSC1CCCCC(=O)N,1700.0,3.23,4
C1CSSC1CCCCC(=O)O,230.0,2.362,3
CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,1600.0,3.204,4
C1=CC(=CN=C1)C(=O)N,1680.0,3.225,4
C1=CC(=CN=C1)C(=O)O,5000.0,3.699,5
CN(C)C1=CC=CC=C1,100.0,2.0,2
C1=CC(=C(C=C1C(CN)O)O)O,2.0,0.301,1
C1=CC(=CC=C1[N+](=O)[O-])O,200.0,2.301,2
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],9.0,0.954,1
C1=CC=C(C=C1)O,460.0,2.663,3
C1=CC=C(C=C1)CCN,0.45,-0.347,1
CC(CO)O,22500.0,4.352,5
C(CCN)CN,1000.0,3.0,3
C1=CC=NC=C1,866.0,2.938,3
CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,850.0,2.929,3
CC1=NC=C(C(=C1O)CN)COP(=O)(O)O,6300.0,3.799,5
CC1=NC=C(C(=C1O)CO)CO,3100.0,3.491,5
C1=CC(=C(C(=C1)O)O)O,650.0,2.813,3
C(C(C(=O)O)N)SCC(=O)O,10300.0,4.013,5
C(=O)(N)N,8200.0,3.914,5
COC1=C(C=CC(=C1)C=O)O,1500.0,3.176,4
CC(CC1=CC=CC=C1)NC,30.0,1.477,1
CNNC,220.0,2.342,3
C1=CC=NC(=C1)C2=CC=CC=N2,131.0,2.117,2
