SMILES,Class
C1CN(CCN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=C3,4
CC(=O)NC1=CC=CC=C1S(=O)(=O)OC2=C(C=C(C3=C2N=CC=C3)Cl)I,5
CC1=CC=C(C=C1)C2=C(SC(=N2)/C=C/C3=C(C=C(C=C3)Cl)Cl)CC(=O)O,4
C1=C(OC(=C1)[N+](=O)[O-])/C=C/C=N/NC(=O)C2=CC=C(S2)[N+](=O)[O-],5
CCC(C(=O)[O-])OCCOC1=C(C=C(C(=C1I)NC(=O)C)I)I.[Na+],5
CN1CCN(CC1)C2=NC3=CC=CC=C3NC4=CC=CC=C42,3
C[Si]1(OCCN(CCO1)CCOC(=O)C2=CC=NC=C2)C,5
CN(C)CC1=NC(=C(O1)C2=CC=CC=C2)C3=CC=CC=C3.Cl,4
CC(=CN1CCCC1=NC2=CC=CC=C2Cl)C,4
CCCCSCCCNC(C)C(C1=CC2=C(CCC2)C=C1)O.Cl,4
CC(C)C1=CC(=CC=C1)OC(=O)NCSCNC(=O)OC,3
CN(C)C1=CC2=C(CC3=C([I+]2)C=C(C=C3)N(C)C)C=C1.C(C(=O)O)C(CC(=O)[O-])(C(=O)O)O,3
CC1=CC(=C2C(=C1)OC(=CC2=O)C(=O)N)C,3
CCOC1CCC(=O)N1S(=O)(=O)C2=CC=C(C=C2)OC,4
C1=CC(=CC=C1CSC(=N)N)Cl.Cl,4
CC1=CN=C(N1C=C)[N+](=O)[O-],3
CN1CCN(CC1)/C=C/2\\C(=O)N3C(=N2)CN=C(C4=C3C=CC(=C4)Cl)C5=CC=CC=C5,4
CCCCCCNCC1=CC=CC=C1O,4
CC1=C(C2=C(C=C1)C(=O)N3C=C(C[C@H]3[C@H](N2)OC)/C=C/C(=O)N)O,1
C1CN(CCN1CCOC(=O)C2=CC=CC=C2NC3=C4C=CC(=CC4=NC=C3)SC(F)(F)F)C5=CC=CC=C5.Cl.Cl,4
CN1CCN(CC1)CCC2OC3=CC=CC=C3OC4=CC=CC=C24.C(=C/C(=O)O)\\C(=O)O.C(=C/C(=O)O)\\C(=O)O,3
C[N+]1(CC2C3CCC(C2C1)C=C3)CCC[N+](C)(C)C.[I-].[I-],5
CCNP(=O)(OCC)O/N=C(/C#N)\\C1=CC=CC=C1,3
CCN(CC)CCOC(=O)C1=NNC2=C(C=C(C=C2)Cl)C(=O)N1C,4
CC1(C2=CC=CC=C2C3=CC=CC=C3O1)C(=O)O,4
C1CCN(CC1)CCCN2C(=O)C(=CC(=N2)C3=CC(=CC=C3)Cl)C4=CC=CC=C4,4
C1=C[C@@H](O[C@@H]([C@H]1NC(=O)[C@H](CO)N)C(CC(CN=C(N)N)O)(C(=O)O)O)N2C=C(C(=NC2=O)N)CO,5
CN(C)CC1COC2(C1C3=CC=C(C=C3)Cl)CCCC2.Cl,4
