SMILES,Dose,pDose,Class
C(CCl)Cl,380.0,2.58,2
C(CCl)O,98.0,1.991,1
C(CC(=O)O)CN,9210.0,3.964,4
C1=CC(=CC=C1C(=O)O)O,1050.0,3.021,3
C(CO)O,2700.0,3.431,4
CC=O,560.0,2.748,2
CC(=O)N,8300.0,3.919,4
C1=NC2=NC=NC(=C2N1)N,1000.0,3.0,2
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,239.0,2.378,2
C[N+](C)(C)CC(=O)[O-],10800.0,4.033,4
CCCC=O,2700.0,3.431,4
CCCCO,3200.0,3.505,4
CCCC(=O)O,3180.0,3.502,4
C(C(=O)O)ON,40.0,1.602,0
C[N+](C)(C)CC(CC(=O)[O-])O,11500.0,4.061,4
C1=CC=C(C(=C1)O)O,247.0,2.393,2
C,5000.0,3.699,4
C(C(=O)O)Cl,250.0,2.398,2
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,2700.0,3.431,4
C1=CC=C2C(=C1)C=CC(=O)O2,242.0,2.384,2
CC1=CC=CC=C1O,410.0,2.613,2
C1=CC=C(C(=C1)C(=O)O)O,520.0,2.716,2
CC1=CC(=CC=C1)O,450.0,2.653,2
C1=C(C=C(C=C1O)O)O,991.0,2.996,2
C1=CC(=CC=C1N)O,470.0,2.672,2
CCC=O,680.0,2.833,2
C(CCC(=O)O)CCN,5790.0,3.763,4
CS(=O)C,14000.0,4.146,4
CCO,8285.0,3.918,4
C=O,300.0,2.477,2
C[N+](C)(C)CCCC(=O)[O-],7000.0,3.845,4
C(C(=O)O)N,5060.0,3.704,4
C(C(CO)O)O,91.0,1.959,1
C#N,3.0,0.477,0
CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,500.0,2.699,2
C1=C(NC=N1)CCN,2500.0,3.398,4
OO,1072.0,3.03,3
C1=CC(=CC=C1O)O,182.0,2.26,1
C1=CN=CN1,817.0,2.912,2
C1=CC=C2C(=C1)C=CN2,225.0,2.352,2
II,8650.0,3.937,4
CNCC(C1=CC(=C(C=C1)O)O)O,12.0,1.079,0
