SMILES,Class
CC1CC(C(=O)C2=CC=CC=C12)C[NH+](C)C.[Cl-],2
CC1=C(C2CC(=O)C3C45C2(CC1)C(CC6=C4C(=C(C=C6)OC)O3)N(CC5)C)C,3
CC[NH+](CC)CC[NH+](CC1=CC=C(C=C1)Cl)CC(=O)NC2=C(C=CC=C2Cl)C.[Cl-].[Cl-],3
CN1CC[C@]2(CCC[C@@H]1C2)C3=CC(=CC=C3)O,2
CN1C=NC(=C1SC2=NC=NN2)[N+](=O)[O-],4
COC1=CC=CC=C1OCC[NH+](CCCl)CC2=CC=CC=C2.[Cl-],1
CCN(CC)P(=O)(N(CC)CC)F,2
C1CCN(CC1)CCN2CCN(CC2)CCN3CCCCC3,3
CC(C)N1CCCN(C1)CCNC2=CC=CC=C2.C(=O)(C(=O)O)O.C(=O)(C(=O)O)O,3
CC1=CC=CC=C1OCC(CO)(CO)COC2=CC=CC=C2C,3
CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.Cl,3
C1=CC=C2C=C(C(=CC2=C1)O)Cl,3
CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CNC=N2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC5=CNC=N5)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CO)N.CC(=O)O.O,1
C[As+](C)(C)CI.[I-],3
C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5.[Cl-],2
CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)/C=C/C6=CC(=C(C=C6)O)OC,5
CN1C(=O)[C@]23CC4=CC=C[C@@H]([C@H]4N2C(=O)[C@]1(SS3)CO)O,1
CCCCCCC[N+]1(CCCCC1)CCOC(=O)NC2=CC=CC=C2OCCCCCCC.[Br-],3
C1=CC=[N+](C=C1)CCF.[Br-],3
CC1=CC=CC=C1C(C2=CC=CC=C2)OC3CC4CCCC(C3)N4C,2
CCCCCCOC1=CC=CC(=C1)NC(=O)OCC[NH+](C)C.[Cl-],2
CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC.Cl,3
CC1=C(C(=CC=C1)C)OC(=O)C(C2=CC=CC=C2)N3CCN(CC3)CCO.Cl,2
C1=CC=C(C=C1)NC(=S)NC2=CC(=C(C=C2)C(=O)O)O,3
CCC(C1=CC=CC=C1Cl)N2COCC2C.Cl,3
C1CC[NH+](C1)CCC2=NOC(=C2)C3=CC=CC=C3.[Cl-],3
C[N+](C)(C)CCO.C1=CC=C(C(=C1)C(=O)O)[O-],3
CCCC(CCC)C(=O)OC(C1=CC=CC=C1)C(=O)OC2CC3CCC(C2)N3C,3
C1CCC(CC1)C(C2CCCCC2)(C(=O)O)O,3
C1CN2CCC1C(C2)C#CC(C3=CC=CC=C3)(C4=CC=CC=C4)O.Cl,4
CSCC[C@H](C(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N2CCC[C@H]2C(=O)N)NC(=O)[C@H](CC3=CC=C(C=C3)O)N,4
CC(C[NH+](CC1=CC=CC=C1)CC2=CC=CC=C2)Cl.[Cl-],3
CCC1=C2C=C(C=CC2=C3C=CC(=CC3=[N+]1C)N)N.[Br-],2
CN1C2CCC1CC(C2)OC(=O)CC3=CC=CC=C3.Cl,3
CC(=C)C(OCC(CO)O)Br,3
[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O.[K+].[Sn+2],2
CN(C)C(=S)SC1=CC=C(C=C1)[N+](C)(C)C.[I-],2
CCCCN(CCCl)CCCl.Cl,1
CCNCC(=O)NC1=CC=CC2=C1CN(CC2C3=CC=CC=C3)C.C(=C\\C(=O)O)\\C(=O)O,3
CC1=C(C(CCC1)(C)C)CCC(C)[N+](C)(C)CCCC[N+](C)(C)C(C)CCC2=C(CCCC2(C)C)C.[Br-].[Br-],2
COC1=CC(=CC(=C1OC)OC)C(=O)NC2CCCNC2,4
CCOC(C1CCCCC1)(C2=CC=CC=C2)C(=O)O,3
CCC(=O)CC[N+](C)(C)C.[I-],1
