SMILES,Dose,pDose,Class
CC(CN)O,1715.0,3.234,4
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,640.0,2.806,4
C(CCl)Cl,670.0,2.826,4
C1=CC(=C(C=C1Cl)Cl)Cl,756.0,2.879,4
C(C=O)Cl,89.0,1.949,3
C(CCl)O,71.0,1.851,3
C1=CC(=C(C=C1Cl)O)Cl,580.0,2.763,4
C1=CC(=CN=C1)C#N,1185.0,3.074,4
C1=CC(=CC=C1C=O)O,2250.0,3.352,5
C1=CC(=CC=C1C(=O)O)O,10000.0,4.0,5
C(CO)O,4700.0,3.672,5
CC(=O)O,3310.0,3.52,5
CC=O,661.0,2.82,4
CC(=O)N,7000.0,3.845,5
CC(C(=O)C)O,5000.0,3.699,5
CC(=O)C,5800.0,3.763,5
C1=NC2=NC=NC(=C2N1)N,227.0,2.356,3
C(CCC(=O)O)CC(=O)O,11000.0,4.041,5
CCOP(=S)(OCC)OC1=CC=C(C=C1)N,450.0,2.653,4
C1=CC=C(C(=C1)C(=O)O)N,5410.0,3.733,5
O[As](=O)(O)O,48.0,1.681,2
C1=CC=C(C=C1)C=O,1300.0,3.114,4
C1=CC=CC=C1,930.0,2.968,4
C1=CC=C(C=C1)C(=O)O,1700.0,3.23,4
C1=CC=C(C=C1)CO,1230.0,3.09,4
CCCC=O,2490.0,3.396,5
CCCCO,790.0,2.898,4
CCCC(=O)O,2000.0,3.301,4
C(=O)O,1100.0,3.041,4
C1=CC=C(C(=C1)O)O,260.0,2.415,3
C,5000.0,3.699,5
C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,91.3,1.96,3
C(C(=O)O)Cl,55.0,1.74,3
C1=CC(=C(C=C1O)Cl)O,200.0,2.301,3
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,3000.0,3.477,5
C1=CC=C2C(=C1)C=CC(=O)O2,293.0,2.467,3
CC(C)C1=CC=C(C=C1)CO,1020.0,3.009,4
CC(C)C1=CC=C(C=C1)C=O,1390.0,3.143,4
CC1=CC=CC=C1O,121.0,2.083,3
C1=CC=C(C(=C1)C(=O)O)O,891.0,2.95,4
C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)O,2260.0,3.354,5
CC1=CC(=CC=C1)O,242.0,2.384,3
C1=C(C=C(C=C1O)O)O,4000.0,3.602,5
CCCCCCCC(=O)O,10080.0,4.003,5
C(CCC(=O)O)CCC(=O)O,7000.0,3.845,5
CC(C)[N+](=O)[O-],720.0,2.857,4
S,8437.0,3.926,5
C1=CC(=CC=C1N)O,375.0,2.574,4
COC1=CC=CC=C1O,520.0,2.716,4
CCC=O,1410.0,3.149,4
C1=CC(=CC=C1C=O)[N+](=O)[O-],4700.0,3.672,5
C(CCC(=O)O)CCN,10000.0,4.0,5
CC(C(=O)O)O,3543.0,3.549,5
CC(=O)C(=O)C,1580.0,3.199,4
CCOP(=O)(O)OCC,250.0,2.398,3
C1CC(=O)OC2=CC=CC=C21,1460.0,3.164,4
C(C(=O)CO)O,80000.0,4.903,5
CN(C)CC(=O)O,650.0,2.813,4
CNC,698.0,2.844,4
CS(=O)C,14500.0,4.161,5
C(CO)N,1720.0,3.236,4
CCO,7060.0,3.849,5
C=O,100.0,2.0,3
C(=O)N,5577.0,3.746,5
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,76.0,1.881,3
C(C(=O)O)N,7930.0,3.899,5
C(C(C=O)O)O,5000.0,3.699,5
C(C(CO)O)O,12600.0,4.1,5
C(C=O)O,3000.0,3.477,5
C(C(=O)O)O,1950.0,3.29,4
C(=O)C(=O)O,3000.0,3.477,5
C1=CC(=CC=C1O)O,302.0,2.48,4
C1=CN=CN1,220.0,2.342,3
C1=CC=C2C(=C1)C=CN2,1000.0,3.0,4
C1=CC=C2C(=C1)C(=CN2)CC(=O)O,500.0,2.699,4
II,14000.0,4.146,5
C1CSSC1CCCCC(=O)N,1980.0,3.297,4
C1CSSC1CCCCC(=O)O,1130.0,3.053,4
C(C(=O)O)C(=O)O,1310.0,3.117,4
CSCCC(C(=O)O)N,5000.0,3.699,5
CC(=O)C=O,1165.0,3.066,4
CO,5628.0,3.75,5
CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,3200.0,3.505,5
CC(=O)NC1=CC=CC=C1,800.0,2.903,4
C1=CC=C2C=CC=CC2=C1,490.0,2.69,4
[Ni],5000.0,3.699,5
C1=CC(=CN=C1)C(=O)N,3500.0,3.544,5
C1=CC(=CN=C1)C(=O)O,7000.0,3.845,5
