SMILES,Class
CC(=O)O[C@@H]1C[C@@]2([C@H](CC[C@]3([C@@]2(CC[C@@H]3C4=COC(=O)C=C4)O)C)[C@@]5(C1=C[C@H](CC5)O)C)O,1
C1C2=CC=CC=C2C(=O)C3=C(O1)C=C(C=C3)CC(=O)O,3
CCCCCCCCCCCCOS(=O)(=O)O.CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)OC(=O)CC)(C)O)C)C)O)(C)O,4
CC1=CCC(CC1)(C(C)C)O,4
CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,4
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Cr+3],5
COC1=CC(=CC(=C1OC)OC)C(=O)OCCCCN2CCN(CC2)C3=CC=CC=C3.Cl.Cl,5
CC(=CC[NH+](CCC(C)(C#N)C1=CC=CC2=CC=CC=C21)CC=C(C)C)C.[Cl-],4
CCCCC1=C(N(N(C1=O)C2=CC=CC=C2)C3=CC=C(C=C3)O)O.C1=CC=C(C=C1)C(CNC2=CC=CC=N2)O,4
C1C(S1)CCC#N,3
CC/C(=N\\OCC)/C1=C(CC(CC1=O)C2=C(C=C(C=C2C)C)C)O,4
C1=CC(=C(C(=C1Cl)Cl)Cl)Cl,4
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OC4=CC=CC=C4C(=O)OC5=CC=CC=C5C(=O)O,3
CCCCCCCCCCCCCCCC(=O)O,5
CCNP(=S)(OC)OC1=CC(=C(C=C1Cl)Cl)Cl,4
C[N+]1=CC=C(C=C1)C2=CC=CC=C2.[Cl-],2
C[NH2+]C.C1=CC(=C(C(=C1Cl)C(=O)[O-])Cl)Cl,4
C1CCC(=O)NCC1,4
CC(C)(C)OC,5
CCCCOCCOCCSC#N,3
C1NC(=S)NCN1CCO,4
CCC(=O)OCCC(C)CCC=C(C)C,5
CCCC1=CC=C(C=C1)OC,5
CSC1=NC2=C(O1)C=CC(=C2)Cl,4
CCOC(=O)[C@H](CC1=CC=C(C=C1)O)N.Cl,5
CCCCCCCC/C=C\\CCCCCCCC(=O)N(C)CCS(=O)(=O)[O-].[Na+],4
C1=CC(=CC=C1C(=O)O)N,5
CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,4
CC(C)CCCC(C)NN,3
C(CCC(=O)O)CC(=O)O,5
CCC(C)(C#C)OC(=O)CCC(=O)[O-].[Na+],5
CCC(C)[NH3+].[Cl-],5
CC(CC1=CC=CC=C1)N(C)C,4
