SMILES,Class
CCC1(C(=O)NC(=NC1=O)[O-])CC.[Na+],2
CCNN=NCC,2
CC1=CC(=CC(=C1[O-])[N+](=O)[O-])[N+](=O)[O-].[Na+],0
C1CN(CCN1CC/C=C\\2/C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl.Cl,2
CCO/C(=N/C1=C[N+](=NO1)N2CCOCC2)/[O-],3
C1CCNC(C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)O,2
CN1C2CCC1CC(C2)OC3=CC=CC(=C3)C(F)(F)F.Cl,1
C1=CC=C2C(=C1)C(=CN2)CCN.Cl,3
C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,4
CCCC[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].[Na+].[Br-],4
CC1=C(C(=CC=C1)C)N(C(=O)COC)N2CCOC2=O,2
C1CCC(CC1)OC(=O)CCC(=O)[O-].[Na+],4
C[S+](C)CC[C@@H](C(=O)O)N.[Cl-],4
CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N)NC(=O)CNC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@@H]6CCC(=O)N6.CC(=O)O,3
CC(=O)C1=CC=C(O1)[N+](=O)[O-],1
C1=CC2=C(N=C1)OC3=C(C2=O)C=C(C=C3Cl)C4=NN=N[N-]4.[Na+],4
C1CC(C1)(C(=O)[O-])C(=O)[O-].N.N.[Pt+4],1
CCCN(CCC)N=O,2
CC1=NC=C(C(=C1O)CN)COP(=O)(O)O,4
C1=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)OC2=NC1=N.Cl,4
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,2
C1=CN=CC=C1C(=O)NN,2
CN1CCN(CC1)C2=NN=C3C(=C2)N(CC4=CC=CC=C4O3)CC5=CC=CO5.Cl.Cl,2
CN(C)CC(C1=CC(=C(C=C1)O)O)O,1
C[N+](C)(C)CCI.[I-],1
C1CN(CCN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=N3,2
Cl[Pr](Cl)Cl,4
C=C(C1=CC=CC=C1OCC2=CC(=CC=C2)Cl)N3C=CN=C3.Cl,4
CC(C)P(=O)(NCCNP(=O)(C(C)C)[O-])[O-].[Na+].[Na+],4
CC(CC1=CC=C(C=C1)Br)NC,2
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N,4
COC(CN1CCN(CC1)CC(C(C2=CC=CC=C2)OC)O)C3=CC=CC=C3.Cl.Cl,1
COC1=CC=CC=C1N2CCN(CC2)CCCC(C3=CC=C(C=C3)F)O,2
C[C@H]([C@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O.Cl,2
CCCNC(C)C(=O)NC1=CC=CC=C1C.Cl,2
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@]45[C@@]3(CC(=C([C@H]4O5)O)C#N)C,4
C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N,0
CCC(C)OP(=S)(C)OCC,0
C[N+](C)(C)CC(CC(=O)[O-])O,4
CC1C(OCCN1)C2=CC=CC=C2.Cl,2
C1=CC(=C(C=C1CC(C(=O)O)N)F)O,0
COC1=CC(=CC(=C1OC)OC)CCN,2
C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O.CC1(C[C@@H]1C(=O)N/C(=C\\CCCCSC[C@@H](C(=O)O)N)/C(=O)[O-])C.[Na+],3
CN(C)CCC(C1=CC=CC=C1)(C2=CC=CC=C2Cl)O.Cl,2
C1=NN=C(S1)NCNC2=NN=CS2,1
CC(CC1=CC=CC=C1)N(C)CC#C.Cl,1
CCN1C(=O)C(NC1=O)C2=CC=CC=C2,2
CCN(CC)C(=O)N[C@H]1CC2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0
CCOC(=O)C(=C)C,4
C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.COS(=O)(=O)[O-],3
CCCCC1=C2C(=CC(=C1)O)C(=O)C3=C(C2=O)C(=CC(=C3)O)O,2
CC1=C[C@@H]2[C@](C[C@@H]1OC(=O)CC(C)C)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)COC(=O)C,0
COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,1
C[C@@]12CC[C@@H](C1(C)C=O)CC2=O,3
CCN(CC(C)O)C1=NN=C(C=C1)NNC(=O)OCC,3
CCC(CC)(C1=CC=CC2=CC=CC=C21)C(=O)[O-].[Na+],2
CC1=C(C(C(=C(N1)C)C(=O)OC/C=C/C2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,3
C1=C(C=C(C(=C1I)NN=C(C#N)C#N)I)I,0
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,4
CCCC(C)(COC(=O)N)COC(=O)N,2
C1=CC=C(C=C1)OC(=O)NN(CCCl)CCCl,1
CN(C)C(=N)N=C(N)N.Cl,2
CCCC[NH2+]CC(C1=CC=C(C=C1)O)O.CCCC[NH2+]CC(C1=CC=C(C=C1)O)O.[O-]S(=O)(=O)[O-],3
C/C(=C\\C(=O)O)/OP(=O)(OC)OC,0
CCOC(=O)C(C(=O)OCC)F,1
CN(C)CCC(=O)C1=CC=CC=C1.Cl,1
C([C@H](C([C@H](CO)O)O)O)O,4
CCCCOCC1(C(=O)NC(=O)NC1=O)CC,2
CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O,4
CC[N+](CC)(CC)CC.[Br-],1
C1=CC=C(C=C1)/C=C(/C=O)\\Br,3
COC1=CC=C(C=C1)C(=O)/C(=C\\C(=O)[O-])/Br.[Na+],1
CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3,4
CC1=CC(=NC2=CC3=C(C=C([N+](=C3C=C2)C)C)N)N=C(N1C)N.COS(=O)(=O)O.COS(=O)(=O)[O-],0
CC1=C[C@@H]2[C@](C[C@@H]1O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)O)C)CO,0
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,4
CC1=NC2=C(C=CC(=C2)C(F)(F)F)N(C1=O)CCCN(C)C,1
CC1=C(C2=CC(=C(C=C2N1)OC)OC)CCN3CCN(CC3)C4=CC=CC=C4,3
C[C@H](CSC(=O)[C@@H](C)NC(=O)C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)[O-].C[C@H](CSC(=O)[C@@H](C)NC(=O)C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)[O-].[Ca+2],4
CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C,4
CN1CCN(CC1)C2=NC3=CC=CC=C3CC4=CC=CC=C42,2
[Li],0
CCN(P(=O)(OCC)OCC)P(=O)(OCC)OCC,0
CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@@H]6CCC(=O)N6.CC(=O)O,2
C1=NC(=O)NC(=C1F)N,4
CCC(C)(C)O,3
C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CN3C=NN=N3)C(=O)[O-])CSC4=NN=CS4.[Na+],4
CC(CCN1CCOCC1)(C2=CC=CC3=CC=CC=C32)C(=O)O.Cl,3
C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CCCC(=O)C4=CC=C(C=C4)F)C)C=C(C=C3)O,2
CC1=NC=C(C(=C1O)CO)CSCC2=CN=C(C(=C2CO)O)C.O.Cl.Cl,3
CN(C)C1=CC=C(C=C1)N,0
CC(C)(C)C(=O)CCN(C)C.Cl,2
[N+](=O)([O-])[O-].[Cs+],4
C1=CC(=C(C=C1Cl)NN=C(C#N)C#N)Cl,1
CCCCCCCCCCCC[NH2+]CCNCCNCC(=O)O.[Cl-],4
CCC(C(C1=CC(=C(C=C1)O)O)O)[NH3+].[Cl-],1
CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C.[Br-],0
CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)[C@@H](C)O.OS(=O)(=O)O,1
CC(C)C(CC(C)N(C)C)(C#N)C1=CC=CC=C1.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,2
[O-]S(=O)(=O)[O-].O=[V+2],1
CCC1(C(=O)NC(=O)[N-]C1=O)C2CCC=CC2.[Na+],2
C(CCl)NC(=O)N(CCCl)N=O,1
C[C@@]12CCN(C[C@@H](C1)CC3=C2C=C(C=C3)O)C.Br,2
COC1=C(C=C(C=C1)[N+](=O)[O-])NN=C(C#N)C#N,1
CN(C)C(=O)C1=CC(=NC2=C1C3=C(C=C(N3)C(=O)N(C)C)C(=O)C2=O)C(=O)N(C)C,3
CCOC(=O)CNS(=O)(=O)N(CCCl)CCCl,2
CC1=CC=C(C=C1)C(C)OC(=O)[C@@]2(CC[C@@H](C2(C)C)C(=O)O)C.C(CO)NCCO,2
C1CC1C[NH+]2C3CCC2[C@H]4CC5=CC=CC=C5[C@H]4C3.[Cl-],1
C[C@@H]([C@@H](C1=CC(=CC=C1)O)O)N.Cl,0
C1=CC=C(C=C1)NC(=O)CC(=O)CCl,4
